neuroimaging_modality,fmri_design_type,event_design,task_type,condition_type,conditions,total_length_seconds,mri_field_strength,pulse_sequence_type,imaging_type,resolution_mm,analysis_software,preprocessing_steps,statistical_model,pain_type,pain_location,pain_modality,pain_intensity,pain_duration,pmcid
fMRI,task-based,mixed,cognitive,neutral,['neutral'],600.0,3T,EPI,EPI,3,AFNI,"['motion correction', 'slice timing correction']",GLM,,,,,,6377652
fMRI-BOLD,task-based,block,cognitive,neutral,"['social', 'basic']",420.0,1.5T,gradient echo,echo planar imaging (EPI),3*3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3795450
MEG,,,cognitive,,"['indefinite phrase', 'definite phrase', 'sentence']",3300.0,,,,,MNE-Python,"['noise reduction', 'band-pass filtering', 'bad channel interpolation', 'independent component analysis (ICA)', 'epoch segmentation', 'baseline correction']",linear mixed effects models,,,,,,8010046
fMRI-BOLD,task-based,pseudo-event-related,cognitive,,,690.0,3T,gradient echo,EPI,3,SPM8,"['realigned', 'unwarped', 'spatially normalized', 'smoothed']",GLM,,,,,,7033450
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['statement', 'question', 'T2', 'T4', 'female', 'male']",3000.0,3T,EPI,EPI,2.5,SPM,"['slice timing correction', 'realignment', 'segmentation', 'coregistration', 'normalisation', 'smoothing']",GLM,,,,,,7268089
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['Show Match', 'Show Non-Match', 'No-Show Match', 'No-Show Non-Match']",240.0,3T,EPI,EPI,3.4,SPM5,"['realignment', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,3815022
fMRI-BOLD,resting-state,,,,,480.0,3T,EPI,EPI,3.0,SPM8,"['slice time correction', 'realignment', 'coregistration', 'spatial normalization', 'band-pass filtration']",GLM,,,,,,6056617
MRI,,,,,,,3T,,,1,SPM12,"['spatial normalization', 'segmentation', 'modulation', 'smoothing']",ANOVA,,,,,,9953873
Diffusion MRI,,,,,,10800.0,3T,gradient echo,3D,1,FSL,"['motion correction', 'eddy current correction', 'nonlocal means denoising']",GLM,,,,,,6175394
fMRI-BOLD,resting-state,,,,,300.0,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['motion correction', 'slice timing correction', 'high-pass filtering']",GLM,,,,,,9197764
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['onset', 'rhyme', 'non-match', 'perceptual control']",180.0,3T,single-shot,echo planar imaging (EPI),2,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,7750687
MRI,,,,,,,3T,gradient echo,3D,0.5,SPM8,"['bias-correction', 'tissue-classification', 'normalization']",GLM,,,,,,4106847
fMRI-BOLD,task-based,block,cognitive,,"['Task', 'Control', 'Rest']",438.0,3T,gradient echo,EPI,3,SPM12,"['time-correction', 'realignment', 'co-registration', 'normalization', 'smoothing']",GLM,,,,,,8286228
fMRI-BOLD,task-based,event-related,cognitive,,"['Task', 'Control', 'Null']",408.0,3T,gradient echo,EPI,3,SPM12,"['time-correction', 'realignment', 'co-registration', 'normalization', 'smoothing']",GLM,,,,,,8286228
fMRI-BOLD,task-based,block,cognitive,,"['Task', 'Rest']",250.0,3T,gradient echo,EPI,3,SPM12,"['time-correction', 'realignment', 'co-registration', 'normalization', 'smoothing']",GLM,,,,,,8286228
MRI,,,,,,2400.0,3T,gradient echo,3D,1.0,SPM8,"['motion correction', 'slice timing correction', 'normalization', 'modulation']",ANCOVA,,,,,,3965537
PET,,,cognitive,,,2100.0,,,,,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4166523
fMRI-BOLD,task-based,block,motor,neutral,"['action execution', 'motor imagery']",600.0,3T,gradient echo,echo planar imaging (EPI),3.5,SPM12,"['motion correction', 'slice timing correction', 'spatial normalization']",GLM,,,,,,6692593
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['angry', 'happy']",2000.0,3T,multiband echo-planar imaging,EPI,2,FMRIPREP,"['motion correction', 'intensity non-uniformity correction', 'skull stripping', 'spatial normalization']",GLM,,,,,,7943359
sMRI,,,,,,,3T,gradient echo,3D,1 1 1,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,7218112
MEG,,,motor,,,600.0,,,,,SPM8,"['motion correction', 'artifact rejection']",GLM,,,,,,3835560
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['imitation', 'execution', 'observation']",450.0,3T,gradient echo,EPI,3.0 mm x 3.0 mm x 4.2 mm,FSL,"['motion correction', 'non-brain removal', 'spatial smoothing', 'grand-mean intensity normalization', 'highpass temporal filtering']",GLM,,,,,,6987881
fMRI,resting-state,,,,,,3T,EPI,EPI,3.75 3.75 3.5,SPM12,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",nonparametric permutation testing,,,,,,7448161
MRI,,,,,,,3T,BRAVO,3D,1 1 1,SPM12,"['motion correction', 'normalization', 'smoothing']",nonparametric permutation testing,,,,,,7448161
Diffusion MRI,,,,,,,3T,,,0.9375 0.9375 2.49997,MRtrix3,['motion correction'],fixel-based morphometry,,,,,,7448161
MEG,,,cognitive,,,300.0,,,,,MATLAB,"['motion correction', 'ICA']",,,,,,,6988511
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['Look Neutral', 'Look Craved', 'Look Not Craved', 'Regulate Craved']",,3T,echo-planar,EPI,2,SPM12,"['motion correction', 'slice timing correction', 'realignment', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,7689031
MRI,,,,,,,3T,turbo field echo,3D,0.98,SPM12,"['normalization to MNI space', 'tissue classification (segmentation) into GM, white matter (WM), and cerebrospinal fluid (CSF)', 'bias correction of intensity non-uniformities']",multiple regression analysis,,,,,,5835093
fMRI-BOLD,task-based,mixed,motor,,"['PPM', 'DM']",1200.0,3T,gradient echo,EPI,3x3,SPM,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,6177124
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3mm,SPM,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,9653340
fMRI,resting-state,,,,,,,,,,Ginger ALE,,ALE,chronic,facial,,,,6978224
EEG,,,cognitive,,"['congruent', 'incongruent']",,,,,,EEGLAB,"['motion correction', 'ICA']",ANOVA,,,,,,4656831
PET,,,,,,,,,,,SPM12,"['motion correction', 'non-linear registration', 'masking']",Bayesian multiple regression,,,,,,7089650
MRI,,,,,,,,,3D,0.7,SPM,"['motion correction', 'slice timing correction', 'eddy currents correction', 'gradient nonlinearities correction']",GLM,,,,,,7200265
Diffusion MRI,,,,,,,,,3D,0.7,FSL,"['b0 intensity normalization', 'EPI distortion correction', 'eddy currents correction', 'subject motion correction', 'gradient nonlinearities correction']",GLM,,,,,,7200265
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['neutral Go', 'neutral NoGo', 'aversive Go', 'aversive NoGo']",330.0,4.7T,echo planar imaging,T2-weighted,3.0,SPM8,"['motion correction', 'non-linear spatial warping', 'Gaussian spatial smoothing']",GLM,,,,,,4586270
fNIRS,task-based,mixed,motor,,"['motor execution', 'motor imagery', 'action observation']",,,,,,NIRS-SPM,"['denoised', 'drifted']",GLM,,,,,,6405507
MRI,,,,,,441.0,3T,gradient echo,3D,1x1x1,"SPM, CAT12, FSL","['motion correction', 'slice timing correction']",ANCOVA,,,,,,9951615
fMRI-BOLD,task-based,event-related,cognitive,,"['deep', 'shallow']",,1.5T,T2*-weighted echo-planar imaging,echo planar imaging (EPI),3x3x3,Statistical Parametric Mapping 12,"['motion correction', 'slice timing correction']",GLM,,,,,,7959215
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['trained', 'untrained']",960.0,3T,gradient echo,EPI,2,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,8355471
fMRI,task-based,block,pain,painful,"['painful', 'resting baseline']",200.0,3T,EPI,EPI,3.8,BrainVoyager QX,"['slice-scan time correction', 'high-pass filtering', 'spatial smoothing', '3D head motion correction']",GLM,acute,back and leg,null,medium,short,3255994
fMRI-BOLD,task-based,event-related,cognitive,painful,"['CS+', 'CS-']",587.0,3T,gradient echo,echo planar imaging (EPI),3.0,SPM12,"['interleaved slice time correction', 'realignment of functional volumes', 'co-registration to anatomical T1-weighted image', 'segmentation using 4 tissue classes', 'normalization to MNI standard space', 'smoothing with 8 mm FHMW Gaussian kernel']",GLM,experimental,wrist,electrical,medium,short,9721615
fMRI,task-based,mixed,cognitive,neutral,"['reward', 'aversive']",,,,,,GingerALE 3.0.2,,ALE,,,,,,10947459
fMRI-BOLD,task-based,block,cognitive,neutral,"['ND', 'NI', 'BD', 'BI', 'Neutral']",,3T,gradient echo,EPI,3,SPM8,"['motion correction', 'slice timing correction', 'coregistration to an anatomical image', 'spatial normalization', 'smoothing']",GLM,,,,,,5701130
fMRI-BOLD,task-based,event-related,cognitive,,,312.0,3T,gradient echo,EPI,3.5,AFNI,"['slice-timing correction', 'head motion correction']",GLM,,,,,,4204461
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['functional', 'communicative']",420.0,3T,echo planar,EPI,3.4,SPM12,"['slice-time correction', 'realignment', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,6987472
fMRI-BOLD,resting-state,,,,,,3T,EPI,EPI,3.75 3.75 3.5,"RESTplus, SPM8","['converting data from DICOM to NIFTI', 'eliminating the initial 10 volumes', 'slice timing', 'realignment and evaluation of head movement', 'spatial normalization', 'removal of linear trend', 'nuisance covariate regression', 'filtering with a bandpass of 0.01-0.08 Hz']",ANCOVA,,,,,,8336937
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['happy', 'neutral', 'distressed']",900.0,3T,gradient echo,EPI,3.3,AFNI,"['motion correction', 'slice timing correction', 'registration to Talairach template', 'non-linear warping', 'smoothing']",GLM,,,,,,7058929
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['angry', 'fearful', 'happy', 'neutral']",120.0,3T,gradient echo,EPI,3.3,AFNI,"['motion correction', 'slice timing correction', 'registration to Talairach template', 'non-linear warping', 'smoothing']",GLM,,,,,,7058929
fMRI-BOLD,task-based,event-related,cognitive,,"['exact knowledge', 'weight', 'time', 'numerical estimation']",815.0,3T,gradient echo,echo planar imaging (EPI),3,BrainVoyager QX,"['3D motion correction', 'slice scan time correction', 'removal of low frequencies']",GLM,,,,,,8774251
fMRI-BOLD,task-based,block,cognitive,neutral,"['animals', 'fruit', 'vegetables', 'tools', 'vehicles', 'musical instruments']",,,,EPI,,MATLAB,['motion correction'],GLM,,,,,,6045572
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['neutral', 'happiness', 'disgust']",,,,,,SPM,['motion correction'],GLM,,,,,,3688578
fMRI-BOLD,task-based,event-related,motor,,"['choice action', 'specified action', 'null events']",2016.0,3T,gradient echo,EPI,3x3x1,SPM8,"['motion correction', 'slice timing correction', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,3445813
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['happy', 'sad', 'fearful', 'neutral']",427.0,1.5T,FSPGR,3D,1.1,SPM8,"['realignment', 'segmentation', 'spatial normalization', 'smoothing']",GLM,,,,,,5053033
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['high-intensity happy voice', 'low-intensity happy voice', 'high-intensity sad voice', 'low-intensity sad voice', 'high-intensity fearful voice', 'low-intensity fearful voice']",427.0,1.5T,FSPGR,3D,1.1,SPM8,"['realignment', 'segmentation', 'spatial normalization', 'smoothing']",GLM,,,,,,5053033
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),2,SPM,"['functional realignment', 'slice-timing motion correction', 'ART-based outlier identification', 'normalization to MNI152 standard space', 'spatial smoothing']",GLM,,,,,,9934762
fMRI,task-based,mixed,motor,neutral,"['small', 'large']",600.0,3T,gradient echo,EPI,3.0,FSL,"['motion correction', 'brain extraction', 'spatial smoothing', 'high-pass temporal filtering']",GLM,,,,,,4353194
fMRI-BOLD,task-based,mixed,motor,,"['ankle dorsiflexion', 'ankle rotation', 'knee extension', 'toe flexion']",160.0,3T,gradient echo,echo planar imaging (EPI),3mm,AFNI,"['slice-timing correction', 'realignment of fMRI volumes', 'spatial normalization']",GLM,,,,,,11020805
MRI,,,,,,,3T,T1-weighted,echo planar imaging (EPI),1,FreeSurfer 5.3,"['motion correction', 'averaging of multiple volumetric T1 weighted images', 'removal of non-brain tissue', 'automated Talairach transformation', 'segmentation of the subcortical white matter and deep gray matter volumetric structures', 'intensity normalization', 'tessellation of the gray/white matter boundary', 'automated topology correction', 'surface deformation following intensity gradients']",general linear model,,,,,,5161386
fMRI-BOLD,resting-state,,,,,400.0,3T,gradient echo,3D,1,DPARSF,"['motion correction', 'slice timing correction', 'spatial normalization']",ANOVA,,,,,,9021891
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['navigational retrieval', 'control trials']",,3T,MPRAGE,EPI,1,SPM12,"['motion correction', 'slice timing correction', 'co-registration', 'normalization']",GLM,,,,,,8026345
fMRI-BOLD,task-based,block,cognitive,,"['0-back', '1-back', '2-back', '3-back']",540.0,3T,gradient echo,echo planar imaging (EPI),3.0,SPM12,['motion correction'],GLM,,,,,,5683807
MRI,,,cognitive,,"['tonally resolved', 'tonally unresolved']",1800.0,3T,gradient echo,3D,1.1,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,5827340
fMRI,task-based,block,pain,painful,['sharp mechanical pain'],96.0,3T,pCASL,3D GRASE,1.0,FSL,"['motion correction', 'brain extraction', 'susceptibility distortion correction']",GLM,experimental,forearm,mechanical,medium,long,8785639
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['friends', 'disliked peers', 'neutral peers', 'unfamiliar peers']",360.0,3T,gradient echo,EPI,2.75,SPM8,"['realignment', 'slice-time correction', 'spatial normalization', 'smoothing']",GLM,,,,,,5823968
fMRI-BOLD,resting-state,,,,,,3T,EPI,echo planar imaging (EPI),3x3x3,SPM12,"['slice timing correction', 'realignment', 'coregistration', 'segmentation', 'spatial normalization', 'spatial smoothing']",ICA,,,,,,7683712
fMRI-BOLD,resting-state,,,,,330.0,3T,gradient echo,echo planar imaging (EPI),4x4x5,SPM8,"['slice-timing correction', 'realignment for motion correction', 'coregistration of the anatomical image to the mean aligned functional image', 'segmentation by gray matter, white matter, and cerebrospinal fluid tissue classes', 'normalization of all images to the Montreal Neurological Institute (MNI) space', 'spatial smoothing with an 8-mm full width at half-maximum (FWHM) Gaussian kernel']",RM-ANOVA,,,,,,4511005
fMRI-BOLD,task-based,block,cognitive,neutral,"['ambiguous', 'disambiguated']",402.0,3T,gradient echo,echo planar imaging (EPI),3 x 3 x 3,SPM8,"['standard realignment', 'coregistration', 'normalization to MNI stereotactic space using unified segmentation', 'spatial smoothing with 8 mm full-width at half-maximum isotropic Gaussian kernel']",GLM,,,,,,5448813
fMRI,task-based,mixed,cognitive,neutral,"['SIMPLE', 'COMPLEX']",1980.0,3T,EPI,EPI,3.44,EPrime 2.0,"['realignment', 'unwarping', 'normalization', 'smoothing']",GLM,,,,,,8429816
fMRI-BOLD,resting-state,,,,,400.0,3T,gradient echo,echo planar imaging (EPI),3,DPARSF,"['motion correction', 'slice timing correction']",GCA,,,,,,9775154
fMRI,task-based,block,cognitive,neutral,"['congruent', 'incongruent']",,3T,Gradient Echo,EPI,3.0,SPM12,['motion correction'],ANOVA,,,,,,8822058
fMRI,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3x3x4,SPM,"['slice timing correction', 'realignment', 'spatial normalization', 'smoothing', 'band-pass filter']",GLM,,,,,,5361087
fMRI-BOLD,resting-state,,,,,759.0,3T,MPRAGE,EPI,3.4,FMRIB Expert Analysis Tool,"['motion correction', 'slice timing correction', 'skull extraction', 'spatial smoothing', 'high pass temporal filtering']",ANCOVA,chronic,knee,,,,7856636
fMRI-BOLD,task-based,mixed,motor,,"['walking', 'jogging']",160.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,8032591
fMRI-BOLD,resting-state,,,,,300.0,3T,gradient echo,echo planar imaging (EPI),3.5,"AFNI, FSL","['slice-time correction', 'motion correction']",seed-voxel correlation,,,,,,6306484
fMRI-BOLD,resting-state,,,,,,3T,EPI,EPI,5,FSL,"['removal of the first two volumes of each scan to allow for equilibrium magnetization', 'slice timing correction using Fourier-space time-series phase-shifting', 'non-brain tissue removal', 'motion correction using a 6-parameter linear transformation using a maximization of the correlation ratio', 'intensity normalization of all volumes of each run as implemented in FSL', 'spatial smoothing using a Gaussian kernel with 6 mm full width at half maximum (FWHM)', 'high-pass temporal filtering with cut off frequency of 0.01 Hz']",GLM,,,,,,3515589
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['blif', 'bnif', 'bdif', 'lbif']",25.9,3T,gradient echo,EPI,3.75,SPM,"['motion correction', 'slice timing correction']",ANCOVA,,,,,,3990587
EEG,,,pain,painful,"['hyperalgesia', 'hypoalgesia', 'control']",132.0,,,,,Neuroscan Acquire 4.3,"['digital 50 Hz notch filter', 'bandpass filter (.570 Hz)']",ANOVA,experimental,middle finger,electrical,medium,short,4452240
fMRI,task-based,block,cognitive,,"['0-back', '2-back']",601.0,3T,gradient echo,EPI,2.0,Analysis of Functional NeuroImages,"['gradient unwarping', 'motion correction', 'field-map based EPI distortion correction', 'brain boundary-based registration of EPI to the structural scan', 'registration into MNI152 space', 'grand-mean intensity normalization']",GLM,,,,,,6861638
MRI,,,,,,,3T,,,0.7,FreeSurfer,,,,,,,,6861638
fMRI-BOLD,task-based,block,cognitive,non-painful,"['strong association', 'weak association', 'feature selection']",,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['slice timing correction', 'motion correction', 'high-pass temporal filtering', 'brain extraction', 'linear co-registration']",GLM,,,,,,5035136
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['slice timing correction', 'motion correction', 'high-pass temporal filtering', 'brain extraction', 'linear co-registration']",GLM,,,,,,5035136
fMRI-BOLD,resting-state,,,,,,3T,echo planar imaging,EPI,3,"FSL, AFNI, Freesurfer","['motion correction', 'slice timing correction', 'brain extraction', 'linear image regression', 'spatial smoothing', 'band-pass filtering']",GLM,,,,,,5609161
